date,company_name,sector,stock_price,volume
2025-01-01,AlphaTech,Technology,150.25,20000
2025-01-02,AlphaTech,Technology,152.10,21000
2025-01-03,AlphaTech,Technology,,19000
2025-01-04,AlphaTech,Technology,149.80,20500
2025-01-05,AlphaTech,Technology,151.20,
2025-01-06,AlphaTech,Technology,153.50,21500
2025-01-07,AlphaTech,Technology,154.00,22000
2025-01-08,AlphaTech,Technology,156.75,22500
2025-01-09,AlphaTech,Technology,NaN,23000
2025-01-10,AlphaTech,Technology,157.50,22800
2025-01-01,BetaBank,Finance,85.40,18000
2025-01-02,BetaBank,Finance,86.10,17500
2025-01-03,BetaBank,Finance,84.90,NaN
2025-01-04,BetaBank,Finance,85.75,17800
2025-01-05,BetaBank,Finance,,18200
2025-01-06,BetaBank,Finance,86.40,18500
2025-01-07,BetaBank,Finance,87.00,18750
2025-01-08,BetaBank,Finance,88.25,19000
2025-01-09,BetaBank,Finance,87.80,19200
2025-01-10,BetaBank,Finance,NaN,19100
